row.names	sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72
AFFX-PheX-3_at	6.61176256	7.46760555	3.321928095	7.515699838	7.607330314	7.577428828	7.864186145	8.139551352	8.159871337	3.321928095	7.392317423	7.554588852	6.339850003	8.434628228	8.87958325	6.894817763	7.118941073	3.321928095	8.016808288	7.820178962	6.539158811	6.169925001	6.539158811	7.033423002	5.807354922	3.321928095	3.321928095	7.139551352	7.592457037	6.845490051	6.209453366	3.584962501	3.321928095	6.658211483	3.321928095	6.988684687	7.491853096	3.321928095	7.21916852	3.321928095	3.321928095	3.321928095	8.252665432	4.321928095	3.321928095	3.584962501	3.321928095	3.321928095	3.321928095	3.321928095	4.169925001	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	5.930737338	3.321928095	5.044394119	6.988684687	3.321928095	6.832890014	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095
AFFX-HUMISGF3A/M97935_5_at	9.463320011	7.459431619	3.321928095	4.700439718	9.71596199	6	5.247927513	3.321928095	3.321928095	3.321928095	5.977279923	3.321928095	9.736401931	3.321928095	3.321928095	3.321928095	7.118941073	3.906890596	4.64385619	9.876516947	5.807354922	6.247927513	7.076815597	3.807354922	4.392317423	6.754887502	6.491853096	4.64385619	3.321928095	3.321928095	5.169925001	4.584962501	4.459431619	3.321928095	3.321928095	3.321928095	3.321928095	3.584962501	6.95419631	3.321928095	8.092757141	3.321928095	7.960001932	5.459431619	3.321928095	7.169925001	8.016808288	3.321928095	6.820178962	9.840777924	6.339850003	4.523561956	5.087462841	5.64385619	3.321928095	7.294620749	8.400879436	7.294620749	7.515699838	8.581200582	11.51175265	9.696967526	9.157346935	8.400879436	6.754887502	10.28424575	7.276124405	8.703903573	4.321928095	3.321928095	3.321928095	6.209453366
AFFX-HUMRGE/M10098_5_at	6.472487771	3.321928095	8.668884984	3.321928095	3.321928095	3.321928095	6.584962501	9.337621902	3.321928095	3.321928095	3.321928095	7.409390936	6.857980995	3.321928095	3.321928095	3.321928095	3.321928095	6.50779464	3.321928095	3.321928095	6.988684687	3.321928095	7.247927513	7.665335917	8.426264755	3.321928095	3.321928095	3.321928095	3.321928095	13.96578428	3.700439718	3.321928095	7.294620749	3.321928095	10.9248125	8.417852515	3.321928095	3.321928095	7.700439718	3.321928095	3.321928095	3.321928095	3.321928095	6.339850003	7.523561956	7.876516947	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.087462841	7	9.611024797	10.42626475	7.599912842	3.321928095	3.321928095	8.353146825	3.321928095	7.721099189	9.164906927	3.321928095	6.87036472	10.93590168	3.321928095	3.321928095
AFFX-HUMRGE/M10098_M_at	5.578938713	3.321928095	7.851749041	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	5.807354922	8.405141463	3.321928095	3.321928095	3.321928095	3.321928095	13.50046846	3.321928095	3.321928095	3.321928095	3.321928095	10.44708323	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	5.357552005	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	8.392317423	3.321928095	3.321928095
AFFX-HUMTFRR/M11507_M_at	8.211888295	6.554588852	8.290018847	3.321928095	7.139551352	3.321928095	7.442943496	8.971543554	3.321928095	3.807354922	3.321928095	6.442943496	7.06608919	4.087462841	3.321928095	3.321928095	8.366322214	3.321928095	6.339850003	3.321928095	8.527477006	3.321928095	3.321928095	3.459431619	4.523561956	5.169925001	5.807354922	3.321928095	3.584962501	5.781359714	5	3.321928095	3.321928095	3.321928095	6.95419631	6.554588852	6.584962501	4.321928095	7.672425342	3.321928095	7.312882955	7.17990909	4.857980995	3.321928095	11.02928723	9.071462363	3.321928095	6.14974712	7.607330314	10.203348	7.876516947	3.321928095	9.497851837	3.321928095	3.321928095	11.22881869	10.33427329	7.303780748	7.924812504	8.647458426	11.13121391	9.667111542	9.964340868	8.184875343	3.321928095	11.26795708	10.23720996	11.32418055	3.321928095	3.321928095	3.321928095	3.321928095
AFFX-M27830_5_at	12.78767814	8.30833903	13.96578428	5.285402219	7.672425342	8.271463028	6	7.011227255	5.95419631	7.965784285	7.912889336	7.022367813	8.97441459	6.714245518	3.321928095	3.321928095	8.366322214	6.965784285	6.741466986	7.707359132	10.91513245	3.321928095	10.65910396	12.08447624	11.38963134	9.712527	8.159871337	5.977279923	4.523561956	13.67375074	8.918863237	8.285402219	5.044394119	7.826548487	13.31415836	8.977279923	3.321928095	6.569855608	11.56652978	8.758223215	8.442943496	3.321928095	5.977279923	6.794415866	7.721099189	8.204571144	6.303780748	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.839203788	8.321928095	6.285402219	9.055282436	6.321928095	9.541096615	10.78381676	8.8008999	7.658211483	5	7.832890014	4.169925001	8.184875343	8.897845456	8.951284715	8.409390936	9.865733271	9.079484784	7.636624621
31312_at	3.321928095	8.17990909	3.321928095	5.087462841	7.515699838	6.129283017	5.087462841	6.64385619	3.321928095	3.321928095	7.087462841	6.357552005	3.321928095	7.366322214	3.321928095	3.321928095	3.321928095	3.321928095	6.599912842	3.321928095	3.321928095	6.169925001	7.129283017	7.303780748	3.321928095	6.442943496	8.016808288	3.321928095	3.321928095	3.321928095	3.321928095	5	5.781359714	3.321928095	5.209453366	3.321928095	3.321928095	3.321928095	7.209453366	6.87036472	6.087462841	3.321928095	6.977279923	6.845490051	7.523561956	3.321928095	3.321928095	3.321928095	3.321928095	7	6.700439718	7.46760555	7.839203788	6.918863237	7.459431619	3.321928095	7.562242424	6.988684687	7.918863237	7.409390936	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	6.857980995	6.06608919	3.321928095	7.339850003	3.321928095	3.321928095	7.499845887
31314_at	7.124121312	5.357552005	3.321928095	6.882643049	7.864186145	6.266786541	6.539158811	7.303780748	6.189824559	8.317412614	7.483815777	3.321928095	6.06608919	8.971543554	3.321928095	6.209453366	7.417852515	5.977279923	7.741466986	8.016808288	3.321928095	3.321928095	3.321928095	5.857980995	8.17990909	7.658211483	7.64385619	3.321928095	3.321928095	3.321928095	3.321928095	8.584962501	7.906890596	8.651051691	3.321928095	5.614709844	7.459431619	3.321928095	7.383704292	7.515699838	3.321928095	3.321928095	6.820178962	7.21916852	3.321928095	5.754887502	7.357552005	3.321928095	3.321928095	3.321928095	3.321928095	6.129283017	3.321928095	3.321928095	3.321928095	3.321928095	7.21916852	3.321928095	3.321928095	3.321928095	8.164906927	3.321928095	7.714245518	3.321928095	3.321928095	3.321928095	6.491853096	3.584962501	5.044394119	3.321928095	6	3.321928095
31315_at	4.981852653	12.16804527	8.960001932	3.321928095	5.247927513	10.01959073	3.321928095	9.20701432	5.426264755	3.321928095	3.321928095	6.554588852	12.49859993	9.758223215	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	10.44811631	3.321928095	10.69609817	10.39446269	3.321928095	3.321928095	3.321928095	7.948367232	3.321928095	3.321928095	6.523561956	3.321928095	3.321928095	3.321928095	8.044394119	3.321928095	3.321928095	9.342074668	3.321928095	3.321928095	9.147204925	3.321928095	3.321928095	11.17679648	3.321928095	11.34207467	3.321928095	3.321928095	9.197216693	3.321928095	3.321928095	8.129283017	3.321928095	9.789533645	3.321928095	3.321928095	11.95746485	9.961449694	9.346513733	7.392317423	3.321928095	10.27612441	3.321928095	9.25502857	11.46403515	3.321928095	11.68956125	9.385862401	6.658211483	10.76155123	8.276124405	11.30378075	7.22881869
31319_at	3.321928095	3.321928095	3.321928095	3.321928095	5.285402219	5.754887502	3.321928095	4.754887502	4.321928095	4.807354922	3.321928095	3.700439718	8.276124405	3.321928095	4.700439718	3.321928095	6	3.321928095	3.321928095	8.62935662	3.321928095	6.554588852	3.321928095	3.321928095	3.321928095	3.321928095	3.321928095	7.087462841	3.321928095	6.942514505	3.321928095	3.321928095	3.321928095	3.321928095	6.930737338	3.321928095	4.754887502	3.321928095	6.539158811	5.169925001	6.741466986	3.321928095	7.781359714	3.321928095	8.483815777	7.21916852	7.011227255	8.45532722	6.523561956	5.523561956	8.144658243	3.700439718	7.011227255	3.321928095	6.807354922	9.100662339	8.344295908	8.174925683	3.321928095	3.321928095	3.321928095	7.936637939	7.864186145	7.539158811	8.214319121	9.856425529	9.240791332	5.285402219	3.321928095	3.321928095	9.581200582	3.321928095
