row.names	leukemia_type
sample01	ALL
sample02	ALL
sample03	ALL
sample04	ALL
sample05	ALL
sample06	ALL
sample07	ALL
sample08	ALL
sample09	ALL
sample10	ALL
sample11	ALL
sample12	ALL
sample13	ALL
sample14	ALL
sample15	ALL
sample16	ALL
sample17	ALL
sample18	ALL
sample19	ALL
sample20	ALL
sample21	ALL
sample22	ALL
sample23	ALL
sample24	ALL
sample25	MLL
sample26	MLL
sample27	MLL
sample28	MLL
sample29	MLL
sample30	MLL
sample31	MLL
sample32	MLL
sample33	MLL
sample34	MLL
sample35	MLL
sample36	MLL
sample37	MLL
sample38	MLL
sample39	MLL
sample40	MLL
sample41	MLL
sample42	MLL
sample43	MLL
sample44	MLL
sample45	AML
sample46	AML
sample47	AML
sample48	AML
sample49	AML
sample50	AML
sample51	AML
sample52	AML
sample53	AML
sample54	AML
sample55	AML
sample56	AML
sample57	AML
sample58	AML
sample59	AML
sample60	AML
sample61	AML
sample62	AML
sample63	AML
sample64	AML
sample65	AML
sample66	AML
sample67	AML
sample68	AML
sample69	AML
sample70	AML
sample71	AML
sample72	AML
